2026-05-11 16:47:32 status unpacked libc6:arm64 2.41-12+deb13u2
2026-05-11 16:47:32 status half-configured libc6:arm64 2.41-12+deb13u2
2026-05-11 16:47:32 status installed libc6:arm64 2.41-12+deb13u2
2026-05-11 16:47:32 configure libdb5.3t64:arm64 5.3.28+dfsg2-9 <none>
2026-05-11 16:47:32 status unpacked libdb5.3t64:arm64 5.3.28+dfsg2-9
2026-05-11 16:47:32 status half-configured libdb5.3t64:arm64 5.3.28+dfsg2-9
2026-05-11 16:47:32 status installed libdb5.3t64:arm64 5.3.28+dfsg2-9
2026-05-11 16:47:32 configure libmd0:arm64 1.1.0-2+b1 <none>
2026-05-11 16:47:32 status unpacked libmd0:arm64 1.1.0-2+b1
2026-05-11 16:47:32 status half-configured libmd0:arm64 1.1.0-2+b1
2026-05-11 16:47:32 status installed libmd0:arm64 1.1.0-2+b1
2026-05-11 16:47:32 configure libxxhash0:arm64 0.8.3-2 <none>
2026-05-11 16:47:32 status unpacked libxxhash0:arm64 0.8.3-2
2026-05-11 16:47:32 status half-configured libxxhash0:arm64 0.8.3-2
2026-05-11 16:47:32 status installed libxxhash0:arm64 0.8.3-2
2026-05-11 16:47:32 configure libattr1:arm64 1:2.5.2-3 <none>
2026-05-11 16:47:32 status unpacked libattr1:arm64 1:2.5.2-3
2026-05-11 16:47:33 status half-configured libattr1:arm64 1:2.5.2-3
2026-05-11 16:47:33 status installed libattr1:arm64 1:2.5.2-3
2026-05-11 16:47:33 configure sysvinit-utils:arm64 3.14-4 <none>
2026-05-11 16:47:33 status unpacked sysvinit-utils:arm64 3.14-4
2026-05-11 16:47:33 status half-configured sysvinit-utils:arm64 3.14-4
2026-05-11 16:47:33 status installed sysvinit-utils:arm64 3.14-4
2026-05-11 16:47:33 configure debianutils:arm64 5.23.2 <none>
2026-05-11 16:47:33 status unpacked debianutils:arm64 5.23.2
2026-05-11 16:47:33 status half-configured debianutils:arm64 5.23.2
2026-05-11 16:47:33 status installed debianutils:arm64 5.23.2
2026-05-11 16:47:33 configure mawk:arm64 1.3.4.20250131-1 <none>
2026-05-11 16:47:33 status unpacked mawk:arm64 1.3.4.20250131-1
2026-05-11 16:47:33 status half-configured mawk:arm64 1.3.4.20250131-1
2026-05-11 16:47:33 status installed mawk:arm64 1.3.4.20250131-1
2026-05-11 16:47:33 configure libdebconfclient0:arm64 0.280 <none>
2026-05-11 16:47:33 status unpacked libdebconfclient0:arm64 0.280
2026-05-11 16:47:33 status half-configured libdebconfclient0:arm64 0.280
2026-05-11 16:47:33 status installed libdebconfclient0:arm64 0.280
2026-05-11 16:47:33 configure base-files:arm64 13.8+deb13u4 <none>
2026-05-11 16:47:33 status unpacked base-files:arm64 13.8+deb13u4
2026-05-11 16:47:34 status half-configured base-files:arm64 13.8+deb13u4
2026-05-11 16:47:34 status installed base-files:arm64 13.8+deb13u4
2026-05-11 16:47:34 configure libbz2-1.0:arm64 1.0.8-6 <none>
2026-05-11 16:47:34 status unpacked libbz2-1.0:arm64 1.0.8-6
2026-05-11 16:47:34 status half-configured libbz2-1.0:arm64 1.0.8-6
2026-05-11 16:47:34 status installed libbz2-1.0:arm64 1.0.8-6
2026-05-11 16:47:34 configure libbsd0:arm64 0.12.2-2 <none>
2026-05-11 16:47:34 status unpacked libbsd0:arm64 0.12.2-2
2026-05-11 16:47:34 status half-configured libbsd0:arm64 0.12.2-2
2026-05-11 16:47:34 status installed libbsd0:arm64 0.12.2-2
2026-05-11 16:47:34 configure libblkid1:arm64 2.41-5 <none>
2026-05-11 16:47:34 status unpacked libblkid1:arm64 2.41-5
